sido,year,month,pop_end,pop_change
경기도,2024,2024년03월,13642451.0,2835.0
경기도,2024,2024년04월,13648156.0,5705.0
경기도,2024,2024년05월,13654710.0,6554.0
경기도,2024,2024년06월,13661438.0,6728.0
경기도,2024,2024년07월,13669469.0,8031.0
경기도,2024,2024년08월,13675873.0,6404.0
경기도,2024,2024년09월,13680645.0,4772.0
경기도,2024,2024년10월,13686731.0,6086.0
경기도,2024,2024년11월,13690645.0,3914.0
경기도,2024,2024년12월,13694685.0,4040.0
강원특별자치도,2023,2023년01월,,
강원특별자치도,2023,2023년02월,,
강원특별자치도,2023,2023년03월,,
강원특별자치도,2023,2023년04월,,
강원특별자치도,2023,2023년05월,,
강원특별자치도,2023,2023년06월,1532617.0,-464.0
강원특별자치도,2023,2023년07월,1532050.0,-567.0
강원특별자치도,2023,2023년08월,1531390.0,-660.0
강원특별자치도,2023,2023년09월,1530712.0,-678.0
강원특별자치도,2023,2023년10월,1529500.0,-1212.0
강원특별자치도,2023,2023년11월,1528635.0,-865.0
강원특별자치도,2023,2023년12월,1527807.0,-828.0
강원특별자치도,2024,2024년01월,1526243.0,-1564.0
강원특별자치도,2024,2024년02월,1524624.0,-1619.0
강원특별자치도,2024,2024년03월,1524198.0,-426.0
강원특별자치도,2024,2024년04월,1523661.0,-537.0
강원특별자치도,2024,2024년05월,1522952.0,-709.0
강원특별자치도,2024,2024년06월,1522542.0,-410.0
강원특별자치도,2024,2024년07월,1521877.0,-665.0
강원특별자치도,2024,2024년08월,1521066.0,-811.0
강원특별자치도,2024,2024년09월,1520410.0,-656.0
강원특별자치도,2024,2024년10월,1519545.0,-865.0
강원특별자치도,2024,2024년11월,1518700.0,-845.0
강원특별자치도,2024,2024년12월,1517766.0,-934.0
충청북도,2023,2023년01월,1594459.0,-599.0
충청북도,2023,2023년02월,1593434.0,-1025.0
충청북도,2023,2023년03월,1594056.0,622.0
충청북도,2023,2023년04월,1594109.0,53.0
충청북도,2023,2023년05월,1594007.0,-102.0
충청북도,2023,2023년06월,1593931.0,-76.0
충청북도,2023,2023년07월,1594240.0,309.0
충청북도,2023,2023년08월,1594337.0,97.0
충청북도,2023,2023년09월,1594326.0,-11.0
충청북도,2023,2023년10월,1594211.0,-115.0
충청북도,2023,2023년11월,1594038.0,-173.0
충청북도,2023,2023년12월,1593469.0,-569.0
충청북도,2024,2024년01월,1592155.0,-1314.0
충청북도,2024,2024년02월,1590947.0,-1208.0
충청북도,2024,2024년03월,1591044.0,97.0
충청북도,2024,2024년04월,1590854.0,-190.0
충청북도,2024,2024년05월,1591201.0,347.0
충청북도,2024,2024년06월,1591485.0,284.0
충청북도,2024,2024년07월,1591182.0,-303.0
충청북도,2024,2024년08월,1590716.0,-466.0
충청북도,2024,2024년09월,1590858.0,142.0
충청북도,2024,2024년10월,1590704.0,-154.0
충청북도,2024,2024년11월,1591100.0,396.0
충청북도,2024,2024년12월,1591177.0,77.0
충청남도,2023,2023년01월,2122913.0,-124.0
충청남도,2023,2023년02월,2123625.0,712.0
충청남도,2023,2023년03월,2124650.0,1025.0
충청남도,2023,2023년04월,2125333.0,683.0
충청남도,2023,2023년05월,2125833.0,500.0
충청남도,2023,2023년06월,2126374.0,541.0
충청남도,2023,2023년07월,2126640.0,266.0
충청남도,2023,2023년08월,2127077.0,437.0
충청남도,2023,2023년09월,2127630.0,553.0
충청남도,2023,2023년10월,2128563.0,933.0
충청남도,2023,2023년11월,2129591.0,1028.0
충청남도,2023,2023년12월,2130119.0,528.0
충청남도,2024,2024년01월,2130509.0,390.0
